"Id","Procedencia__c"
"0WOgK0000039o8jWAA","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ALJNWA4","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ALW5WAO","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ALXhWAO","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ALmDWAW","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ALmEWAW","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ALmFWAW","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ALpRWAW","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ALr3WAG","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AM8nWAG","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AMAPWA4","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AMDdWAO","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AMDeWAO","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AMOvWAO","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AMQXWA4","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AMS9WAO","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AMSAWA4","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AMyPWAW","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AN3FWAW","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ANMbWAO","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ANXtWAO","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ANZVWA4","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ANb7WAG","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ANcjWAG","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003ANfxWAG","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AVTpWAO","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AVVRWA4","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AX93WAG","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003AXAfWAO","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"0WOgK000003Bi41WAC","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
