"Id","Unidad_Verificada__c","Procedencia__c"
"02igK000002QPUfQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUgQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUhQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUiQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUjQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUkQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUlQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUmQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUnQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUoQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUpQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUqQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUrQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUsQAO","False","SEED_SINTETICO_NO_VERIFICADO"
"02igK000002QPUtQAO","False","SEED_SINTETICO_NO_VERIFICADO"
