"Id","Procedencia__c"
"a0BgK00000akEWHUA2","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akEWIUA2","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akEWJUA2","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akLERUA2","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akLHdUAM","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akLHeUAM","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akLHfUAM","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akN1hUAE","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akN6XUAU","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akN6YUAU","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akPrVUAU","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akRIDUA2","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akRJpUAM","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akRLRUA2","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akXyjUAE","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akaerUAA","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akagTUAQ","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akb4fUAA","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akb6HUAQ","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000akb7tUAA","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000alwJzUAI","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000amP4EUAU","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000amPsDUAU","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000amPtpUAE","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000ambLVUAY","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000ambN7UAI","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000b0GXNUA2","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
"a0BgK00000b0UwrUAE","PRUEBA_TRANSACCIONAL_SIN_FUENTE_CONFIRMADA"
